game_id,title,steam_link,kafkaesque,absurd,surreal,displaced,isolated,alienated,bureaucratic,civil service,Phase2_Total
360430,Mafia III: Definitive Edition,https://store.steampowered.com/app/360430,17.63,1.15,1.09,0.77,2.1,5.11,8.35,10.28,5.81
1280930,Astral Ascent,https://store.steampowered.com/app/1280930,26.79,2.2,3.85,2.23,0.64,7.4,5.79,6.51,6.93
445220,Avorion,https://store.steampowered.com/app/445220,9.89,2.5,2.5,0.75,3.06,4.21,1.58,0.14,3.08
8870,BioShock Infinite,https://store.steampowered.com/app/8870,24.3,2.91,3.51,2.04,3.79,5.15,5.56,7.87,6.89
2669150,Mindlock - The Apartment,https://store.steampowered.com/app/2669150,37.57,5.39,7.5,1.12,2.59,4.28,9.41,4.67,9.07
1315320,The Necromancer's Tale,https://store.steampowered.com/app/1315320,32.99,7.09,4.1,0.57,3.22,6.9,8.2,6.03,8.64
2161700,Persona 3 Reload,https://store.steampowered.com/app/2161700,16.45,0.24,2.33,1.38,0.36,6.01,4.48,8.59,4.98
1668540,The Legend of Heroes: Trails into Reverie,https://store.steampowered.com/app/1668540,29.5,0.31,3.57,4.36,1.39,5.83,11.85,19.87,9.58
704450,Neverwinter Nights: Enhanced Edition,https://store.steampowered.com/app/704450,17.31,0.13,3.05,0.39,1.32,3.67,3.54,3.69,4.14
2754380,The Roottrees are Dead,https://store.steampowered.com/app/2754380,16.09,0.4,3.35,0.89,2.11,3.95,8.29,5.27,5.04
611760,Don't Escape: 4 Days to Survive,https://store.steampowered.com/app/611760,35.64,0.0,5.54,2.85,5.57,2.43,0.0,0.0,6.5
1940340,Darkest Dungeon® II,https://store.steampowered.com/app/1940340,27.56,7.11,3.03,2.91,1.19,9.82,6.6,10.58,8.6
3014080,The Hundred Line -Last Defense Academy-,https://store.steampowered.com/app/3014080,24.52,4.04,2.6,2.01,2.1,7.7,7.25,9.11,7.42
1222690,Dragon Age™ Inquisition,https://store.steampowered.com/app/1222690,18.46,11.41,1.98,0.89,0.0,5.96,7.15,13.74,7.45
1367590,Tormented Souls,https://store.steampowered.com/app/1367590,34.84,4.68,5.96,1.17,0.28,8.41,5.93,1.43,7.84
2864560,Rune Factory: Guardians of Azuma,https://store.steampowered.com/app/2864560,17.74,3.22,3.5,2.39,2.53,6.19,7.12,13.12,6.98
1546080,Every Day We Fight,https://store.steampowered.com/app/1546080,27.25,8.43,2.9,4.61,6.55,9.49,8.28,16.51,10.5
393080,Call of Duty®: Modern Warfare® Remastered (2017),https://store.steampowered.com/app/393080,20.18,3.0,2.66,3.11,5.79,5.14,7.35,11.9,7.39
333640,Caves of Qud,https://store.steampowered.com/app/333640,26.97,6.13,4.15,0.99,2.66,5.6,4.53,2.66,6.71
1295510,DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,https://store.steampowered.com/app/1295510,13.94,2.73,2.81,2.11,0.0,2.17,0.7,4.98,3.68
624270,The Painscreek Killings,https://store.steampowered.com/app/624270,33.3,0.56,4.04,0.75,2.42,7.28,12.56,11.39,9.04
1243850,This Bed We Made,https://store.steampowered.com/app/1243850,31.41,2.5,4.87,0.0,1.03,4.91,7.44,0.6,6.59
3730100,Whispers from the Star,https://store.steampowered.com/app/3730100,27.4,3.93,4.68,1.33,9.1,9.1,6.05,4.2,8.22
3125750,EDENS ZERO,https://store.steampowered.com/app/3125750,14.31,1.99,2.61,0.43,0.12,2.8,1.89,2.11,3.28
2401970,Ace Attorney Investigations Collection,https://store.steampowered.com/app/2401970,18.12,7.07,2.59,0.3,0.0,4.22,13.62,9.94,6.98
424840,Little Nightmares,https://store.steampowered.com/app/424840,31.37,3.93,5.73,3.18,1.56,9.59,1.31,4.77,7.68
209000,Batman™: Arkham Origins,https://store.steampowered.com/app/209000,21.26,3.66,3.02,0.8,1.17,4.61,6.66,4.92,5.76
1721060,Mandragora: Whispers of the Witch Tree,https://store.steampowered.com/app/1721060,27.4,9.84,4.35,1.5,0.0,5.82,7.19,6.58,7.83
2226730,OVIS LOOP,https://store.steampowered.com/app/2226730,25.52,6.85,3.77,0.88,2.95,8.32,5.43,4.32,7.25
1989270,Slay the Princess — The Pristine Cut,https://store.steampowered.com/app/1989270,23.1,4.19,2.66,1.95,0.0,10.87,2.32,4.37,6.18
220740,Chaos on Deponia,https://store.steampowered.com/app/220740,26.53,6.1,5.0,0.93,0.0,4.01,4.36,1.32,6.03
637650,FINAL FANTASY XV WINDOWS EDITION,https://store.steampowered.com/app/637650,13.82,1.25,2.36,1.63,0.0,0.0,1.72,6.13,3.36
2275020,Backrooms Rec.,https://store.steampowered.com/app/2275020,38.38,0.49,5.87,2.29,8.0,10.18,7.68,8.96,10.23
674140,Bugsnax,https://store.steampowered.com/app/674140,17.84,5.45,1.89,1.8,1.46,7.26,3.89,4.62,5.53
1455630,THE GAME OF LIFE 2,https://store.steampowered.com/app/1455630,16.6,1.45,3.94,0.24,8.02,2.01,0.25,0.0,4.06
1466390,Kathy Rain 2: Soothsayer,https://store.steampowered.com/app/1466390,25.3,0.0,3.6,0.55,0.91,3.57,10.97,5.5,6.3
201810,Wolfenstein: The New Order,https://store.steampowered.com/app/201810,28.94,3.01,2.72,1.91,0.26,4.76,5.83,10.21,7.2
1125510,Snacko,https://store.steampowered.com/app/1125510,20.91,3.76,3.25,1.94,5.33,6.12,4.56,6.03,6.49
391220,Rise of the Tomb Raider™,https://store.steampowered.com/app/391220,18.36,0.0,2.02,1.03,0.0,2.78,1.55,0.0,3.22
1895880,Ratchet & Clank: Rift Apart,https://store.steampowered.com/app/1895880,19.27,3.37,3.44,2.16,2.01,5.52,3.41,5.37,5.57
607080,Psychonauts 2,https://store.steampowered.com/app/607080,24.33,0.0,5.28,0.37,2.77,8.64,7.45,5.65,6.81
292730,Call of Duty®: Infinite Warfare,https://store.steampowered.com/app/292730,16.2,1.45,1.57,1.68,0.95,2.98,1.99,3.86,3.84
1172380,STAR WARS Jedi: Fallen Order™,https://store.steampowered.com/app/1172380,14.72,2.88,2.83,2.54,3.55,4.95,6.34,9.99,5.98
632470,Disco Elysium - The Final Cut,https://store.steampowered.com/app/632470,26.7,5.58,4.14,0.52,3.64,7.64,12.83,12.06,9.14
40390,Risen 2: Dark Waters,https://store.steampowered.com/app/40390,20.99,0.54,2.77,2.47,0.0,4.82,0.63,3.47,4.46
412020,Metro Exodus,https://store.steampowered.com/app/412020,28.74,0.0,2.97,3.9,5.57,3.16,7.07,8.28,7.46
2738630,Dungeons & Dragons Neverwinter Nights 2: Enhanced Edition,https://store.steampowered.com/app/2738630,21.29,6.94,3.59,2.39,3.84,5.58,7.51,13.1,8.03
1345890,Deliver Us Mars,https://store.steampowered.com/app/1345890,14.94,0.0,3.2,1.52,0.77,2.9,0.0,0.0,2.92
1712350,Riven,https://store.steampowered.com/app/1712350,28.79,5.91,5.48,2.58,4.7,4.26,5.15,8.61,8.18
851850,DRAGON BALL Z: KAKAROT,https://store.steampowered.com/app/851850,18.68,4.43,2.34,1.44,2.93,4.14,6.27,8.46,6.09
1343400,RuneScape ®,https://store.steampowered.com/app/1343400,19.63,1.89,3.46,1.77,9.37,5.15,4.02,9.56,6.86
3218530,Best Served Cold,https://store.steampowered.com/app/3218530,25.55,7.43,2.81,0.51,2.21,6.24,14.48,13.96,9.15
3690010,Who's at the door?,https://store.steampowered.com/app/3690010,37.92,4.64,7.42,2.23,4.26,10.56,6.99,6.09,10.01
235600,Tom Clancy’s Splinter Cell Blacklist,https://store.steampowered.com/app/235600,22.06,2.24,1.8,2.11,3.23,10.69,8.81,13.38,8.04
860510,Little Nightmares II,https://store.steampowered.com/app/860510,36.15,7.4,5.34,3.71,10.66,7.96,8.01,7.09,10.79
1971650,OCTOPATH TRAVELER II,https://store.steampowered.com/app/1971650,25.13,1.92,4.12,3.82,8.78,4.37,5.29,9.99,7.93
745920,Temtem,https://store.steampowered.com/app/745920,11.58,3.47,2.43,2.96,7.02,7.2,2.86,8.27,5.72
1515210,The Past Within,https://store.steampowered.com/app/1515210,29.35,2.03,5.15,1.13,6.17,2.53,3.62,2.83,6.6
1373090,"Yes, Your Grace 2: Snowfall",https://store.steampowered.com/app/1373090,21.07,12.45,2.66,2.72,0.42,7.97,12.97,19.32,9.95
2679460,Metaphor: ReFantazio,https://store.steampowered.com/app/2679460,20.14,3.7,3.4,2.04,0.46,4.66,8.76,5.84,6.12
718670,Cultist Simulator,https://store.steampowered.com/app/718670,31.0,6.89,5.25,0.9,3.18,13.04,7.97,3.87,9.01
3339880,OFF,https://store.steampowered.com/app/3339880,31.21,17.35,5.58,2.14,0.98,12.77,11.57,15.66,12.16
3169520,"Warhammer 40,000: Space Marine - Master Crafted Edition",https://store.steampowered.com/app/3169520,16.21,4.46,1.25,2.45,0.0,4.73,0.84,5.7,4.46
3527760,RoboCop: Rogue City - Unfinished Business,https://store.steampowered.com/app/3527760,18.68,5.09,2.23,0.55,0.0,4.48,8.97,7.97,6.0
640820,Pathfinder: Kingmaker — Enhanced Plus Edition,https://store.steampowered.com/app/640820,21.02,6.99,3.97,3.11,6.16,8.24,7.27,18.72,9.43
1458140,Pacific Drive,https://store.steampowered.com/app/1458140,23.88,5.87,2.67,2.56,4.7,5.21,6.3,2.97,6.77
2696050,Yarimono,https://store.steampowered.com/app/2696050,11.13,5.13,2.89,0.86,3.32,5.6,4.82,1.36,4.39
329110,Gems of War - Puzzle RPG,https://store.steampowered.com/app/329110,13.75,4.67,2.14,1.79,0.6,2.65,5.12,11.04,5.22
1082430,Before Your Eyes,https://store.steampowered.com/app/1082430,29.61,0.42,6.13,1.96,6.89,5.07,1.33,2.13,6.69
