game_id,title,steam_link,keyword_evaluation_Autobiographisch,keyword_evaluation_Werke,keyword_evaluation_Figuren,keyword_evaluation_K_E_Total,embedding_evaluation_kafkaesque,embedding_evaluation_absurd,embedding_evaluation_surreal,embedding_evaluation_displaced,embedding_evaluation_isolated,embedding_evaluation_alienated,embedding_evaluation_bureaucratic,embedding_evaluation_civil service,embedding_evaluation_Embedding_Total,keyword_rescaled,embedding_rescaled,baseline_combined_rescaled,generative_evaluation_krauss_1_definition_x,generative_evaluation_krauss_2_kontrast_x,generative_evaluation_krauss_3_beispiel_rossmann_x,generative_evaluation_krauss_4_schluss_x,generative_evaluation_NLI_Total_x,generative_evaluation_krauss_1_definition_y,generative_evaluation_krauss_2_kontrast_y,generative_evaluation_krauss_3_beispiel_rossmann_y,generative_evaluation_krauss_4_schluss_y,generative_evaluation_NLI_Total_y
3132250,Heian City Story,https://store.steampowered.com/app/3132250,0.0,2.77,0.0,0.75,20.24,2.67,3.44,0.76,5.8,2.07,12.25,17.34,8.07,66.79,64.16,65.48,,,,,,,,,,
3132930,Monument Valley 3,https://store.steampowered.com/app/3132930,0.0,0.0,0.0,0.0,20.41,3.34,4.62,1.21,2.59,3.19,5.83,6.31,5.94,41.97,41.21,41.59,,,,,,,,,,
3133180,Island Clicker,https://store.steampowered.com/app/3133180,0.0,0.0,0.0,0.0,22.05,4.0,3.4,2.95,7.01,4.86,4.5,6.06,6.85,41.97,51.13,46.55,,,,,,,,,,
3136150,Dates & Wires: Augmented Edition,https://store.steampowered.com/app/3136150,0.0,0.0,0.0,0.0,31.47,5.38,4.25,0.54,4.68,7.25,11.59,9.07,9.28,41.97,75.31,58.64,,,,,,,,,,
313650,Time Mysteries 2: The Ancient Spectres,https://store.steampowered.com/app/313650,0.0,0.0,0.0,0.0,23.06,5.99,4.08,1.78,1.37,2.03,10.56,11.14,7.5,41.97,58.21,50.09,,,,,,,,,,
3137500,EmyLiveShow: How To Write A Bestseller,https://store.steampowered.com/app/3137500,0.0,0.0,0.0,0.0,30.51,0.0,3.95,0.8,8.07,2.76,4.85,1.24,6.52,41.97,47.5,44.73,,,,,,,,,,
3137520,Gun Factory Simulator,https://store.steampowered.com/app/3137520,0.0,0.0,0.0,0.0,20.01,3.31,2.17,0.18,5.13,4.79,10.68,12.52,7.35,41.97,56.6,49.28,,,,,,,,,,
3137560,The Liminal Dimension,https://store.steampowered.com/app/3137560,0.0,0.0,0.0,0.0,48.7,4.04,8.72,1.99,4.79,10.95,8.04,4.16,11.42,41.97,88.67,65.32,,,,,,,,,,
3138370,Bundle of Joy,https://store.steampowered.com/app/3138370,0.0,0.0,5.55,2.25,21.36,0.0,3.49,1.1,2.06,4.17,6.52,0.0,4.84,93.96,30.16,62.06,,,,,,,,,,
3138780,Do No Harm,https://store.steampowered.com/app/3138780,0.0,0.0,0.0,0.0,32.73,7.02,4.81,0.84,2.9,7.68,10.36,5.87,9.03,41.97,73.21,57.59,,,,,,,,,,
3140130,KUUKIYOMI 4: Consider It,https://store.steampowered.com/app/3140130,0.0,0.0,0.0,0.0,26.61,11.77,3.91,0.02,5.96,7.66,7.31,10.25,9.19,41.97,74.57,58.27,,,,,,,,,,
3140160,Toward Dawn,https://store.steampowered.com/app/3140160,0.0,0.0,0.0,0.0,18.94,1.19,3.5,1.5,0.0,5.51,1.96,3.61,4.53,41.97,27.36,34.67,,,,,,,,,,
3140340,PiMon,https://store.steampowered.com/app/3140340,0.0,0.0,0.0,0.0,11.37,1.2,3.31,0.0,0.01,3.68,5.51,0.96,3.25,41.97,17.65,29.81,,,,,,,,,,
3140990,Backrooms Cleanup Crew,https://store.steampowered.com/app/3140990,0.0,0.0,0.0,0.0,16.54,0.87,1.47,0.88,2.01,5.88,14.36,13.41,6.93,41.97,52.01,46.99,,,,,,,,,,
314240,RPG Tycoon,https://store.steampowered.com/app/314240,0.0,2.77,0.0,0.75,11.24,1.73,2.31,0.89,1.97,3.6,10.81,14.98,5.94,66.79,41.21,54.0,,,,,,,,,,
3143080,Mr. Hopp's Playhouse 2 HD,https://store.steampowered.com/app/3143080,0.0,0.0,0.0,0.0,22.09,3.93,4.81,0.54,0.0,8.1,6.81,2.51,6.1,41.97,42.92,42.45,,,,,,,,,,
3143760,Marry a Deep One: Innsmouth Simulator,https://store.steampowered.com/app/3143760,0.0,0.0,0.0,0.0,33.34,12.62,5.89,0.81,4.62,18.16,11.35,13.97,12.59,41.97,92.91,67.44,,,,,,,,,,
3144640,Skoof Simulator,https://store.steampowered.com/app/3144640,0.0,0.0,0.0,0.0,22.96,10.9,2.35,1.19,4.6,7.38,8.71,9.16,8.41,41.97,67.53,54.75,,,,,,,,,,
3145370,Muffles' Life Sentence,https://store.steampowered.com/app/3145370,0.0,0.0,0.0,0.0,22.42,7.46,3.58,0.96,0.0,9.7,10.63,13.73,8.56,41.97,68.96,55.46,,,,,,,,,,
3145620,Without a Dawn,https://store.steampowered.com/app/3145620,0.0,0.0,0.0,0.0,40.46,6.83,7.71,3.01,7.11,7.52,3.83,1.84,9.79,41.97,79.25,60.61,,,,,,,,,,
3145780,[ANOMALY TAPES]: Beyond Reality,https://store.steampowered.com/app/3145780,0.0,0.0,0.0,0.0,37.08,9.6,6.76,0.73,2.1,7.77,9.22,2.91,9.52,41.97,77.22,59.6,,,,,,,,,,
3146640,Abnormal1999:The Compass and the Sand,https://store.steampowered.com/app/3146640,0.0,0.0,0.0,0.0,29.72,6.79,5.15,2.57,4.43,7.43,5.45,5.82,8.42,41.97,67.62,54.8,,,,,,,,,,
3147380,Quantum Sleeper,https://store.steampowered.com/app/3147380,0.0,0.0,0.0,0.0,31.64,3.76,4.04,1.4,6.28,6.19,13.67,8.55,9.44,41.97,76.6,59.28,,,,,,,,,,
314790,Silence,https://store.steampowered.com/app/314790,0.0,2.77,0.0,0.75,28.88,6.73,3.93,2.67,5.1,7.91,3.32,10.48,8.63,66.79,69.61,68.2,,,,,,,,,,
314810,Randal's Monday,https://store.steampowered.com/app/314810,0.0,0.0,0.0,0.0,25.85,8.69,3.6,0.77,2.03,4.72,2.1,0.0,5.97,41.97,41.53,41.75,,,,,,,,,,
3148160,Dragon Song Tavern: Cozy & Adventurous,https://store.steampowered.com/app/3148160,0.0,0.0,0.0,0.0,14.31,4.07,2.91,0.5,1.3,3.66,4.13,0.64,3.94,41.97,22.51,32.24,,,,,,,,,,
3149960,American Election Simulator,https://store.steampowered.com/app/3149960,0.0,0.0,0.0,0.0,17.01,1.53,2.55,2.43,7.12,5.83,10.0,19.83,8.29,41.97,66.36,54.16,,,,,,,,,,
3151400,Liminal Universe,https://store.steampowered.com/app/3151400,0.0,0.0,0.0,0.0,37.87,6.33,6.52,2.56,9.14,5.77,8.3,7.26,10.47,41.97,83.74,62.86,,,,,,,,,,
3152380,Prison Notes,https://store.steampowered.com/app/3152380,0.0,0.0,0.0,0.0,26.4,5.84,4.43,1.5,6.74,11.42,8.21,13.4,9.74,41.97,78.88,60.43,,,,,,,,,,
